가가, 52, 184
파바, 97, 164
차파, 83, 154
라파, 98, 156
파파, 54, 140
마사, 52, 178
자아, 73, 188
나바, 79, 151
마사, 53, 187
나아, 82, 172
타가, 67, 185
자차, 98, 196
사마, 47, 159
바아, 41, 162
바가, 70, 189
타다, 86, 194
가타, 91, 174
사아, 52, 185
파하, 81, 169
차자, 60, 182
하카, 90, 146
라자, 79, 192
나사, 93, 166
나다, 74, 167
라다, 88, 164
다라, 79, 179
마카, 74, 191
아자, 96, 187
차차, 44, 179
가하, 90, 154
사사, 82, 199
라마, 57, 151
하하, 77, 196
다다, 93, 174
라자, 59, 180
차자, 91, 197
파사, 90, 194
사다, 80, 184
아파, 48, 143
카타, 53, 180
라타, 78, 170
카파, 57, 154
나사, 57, 159
라하, 60, 147
아자, 42, 156
다가, 88, 146
자나, 83, 166
파카, 46, 185
가차, 68, 148
라가, 95, 155
바하, 66, 171
아라, 57, 141
자바, 47, 145
라라, 81, 194
라바, 78, 196
가파, 62, 142
차마, 55, 193
자카, 66, 183
마가, 69, 189
차사, 95, 168
사마, 91, 149
자바, 94, 188
차사, 55, 156
아타, 90, 145
카바, 70, 174
다타, 53, 163
사차, 60, 190
바사, 57, 156
다다, 50, 189
라타, 85, 150
카아, 41, 178
라라, 97, 192
아라, 89, 199
바카, 67, 197
카마, 91, 195
바파, 84, 171
아아, 85, 157
카하, 81, 144
차차, 45, 152
자바, 47, 141
사나, 85, 152
나나, 46, 177
하다, 61, 193
카바, 64, 162
아가, 55, 167
아자, 85, 169
아마, 64, 192
하나, 49, 191
자라, 57, 148
라다, 97, 199
파자, 72, 171
바파, 76, 146
아자, 65, 154
카바, 42, 191
다나, 63, 176
카하, 76, 180
마마, 82, 186
아카, 67, 188
마바, 75, 187
타나, 89, 173
라차, 42, 155
파사, 89, 191
카가, 48, 152
아사, 92, 195
카사, 91, 176
바바, 89, 153
자아, 78, 181
자사, 70, 146
자카, 92, 189
사아, 80, 178
하가, 71, 170
라마, 92, 197
나라, 74, 144
마나, 62, 142
자나, 74, 154
사마, 84, 157
나라, 79, 165
다사, 74, 176
가사, 84, 143
카다, 66, 188
하하, 95, 170
마아, 54, 157
라자, 62, 142
다나, 52, 180
하자, 96, 145
라카, 70, 194
사사, 78, 181
다카, 76, 197
다라, 44, 195
사마, 80, 193
타하, 88, 186
자바, 66, 164
다마, 45, 173
마파, 41, 143
라나, 53, 150
파자, 44, 141
자카, 52, 198
자아, 85, 188
차마, 83, 190
하다, 42, 169
자나, 73, 149
파마, 84, 146
라타, 97, 196
나하, 40, 154
나마, 44, 156
자나, 56, 144
다마, 63, 152
자차, 74, 143
다하, 76, 179
차자, 41, 182
차나, 97, 162
마카, 55, 191
자나, 56, 171
아타, 73, 177
가라, 57, 170
다하, 60, 193
가파, 55, 196
자아, 91, 172
타차, 96, 195
가바, 52, 149
사하, 45, 185
가카, 46, 190
사카, 59, 176
하차, 56, 196
가하, 56, 164
카마, 76, 172
다마, 56, 144
바나, 94, 183
라타, 67, 156
파사, 70, 154
차바, 67, 147
자자, 54, 157
바마, 80, 141
라아, 68, 190
사차, 70, 179
다파, 92, 178
하카, 91, 194
차자, 62, 180
아라, 60, 143
사라, 92, 156
바차, 90, 162
사마, 46, 163
자다, 49, 166
차바, 73, 142
마가, 55, 180
자라, 52, 159
자바, 68, 149
카타, 71, 144
파바, 71, 178
가사, 92, 181
마자, 83, 147
나파, 77, 179
차다, 71, 164
파자, 97, 153
다나, 85, 187
사자, 48, 191
차타, 97, 145
카차, 68, 156
바라, 71, 155
바마, 48, 192
자자, 41, 142
다마, 58, 180
나다, 45, 196
하파, 90, 179
다바, 76, 160
다차, 81, 172
가마, 92, 176
바라, 79, 173
가파, 46, 155
자나, 59, 184
타자, 71, 140
하자, 50, 192
아마, 66, 162
다가, 76, 147
하바, 41, 156
하차, 84, 152
사하, 50, 171
바사, 50, 185
차파, 82, 140
가나, 88, 195
자마, 78, 154
차다, 93, 177
아마, 90, 176
다라, 57, 174
파카, 81, 178
자타, 70, 158
차하, 77, 166
사다, 40, 160
아아, 41, 195
파가, 81, 146
타아, 86, 182
나다, 83, 191
다라, 68, 140
라차, 64, 164
하자, 69, 174
바자, 77, 196
하아, 65, 145
라파, 72, 180
카라, 55, 152
라차, 47, 195
가타, 41, 191
가라, 85, 199
차사, 95, 188
바사, 95, 146
자가, 52, 182
다라, 81, 196
파사, 98, 199
나파, 92, 178
바나, 51, 178
사아, 41, 164
다가, 92, 193
타라, 97, 191
차아, 54, 148
나사, 73, 176
바라, 64, 154
카카, 82, 192
다가, 46, 146
나라, 43, 188
라차, 63, 153
타바, 49, 190
사아, 54, 153
다아, 53, 193
차가, 55, 160
라라, 78, 173
마라, 99, 149
라사, 88, 141
아라, 47, 197
카카, 99, 161
나마, 77, 186
라나, 96, 195
마나, 61, 173
마나, 93, 169
파다, 63, 159
타나, 42, 157
하아, 44, 168
하마, 74, 163
나하, 88, 166
마사, 60, 151
차파, 54, 191
가파, 80, 159
가사, 50, 197
나가, 77, 180
다자, 53, 193
아타, 56, 158
마아, 59, 188
다라, 73, 148
차파, 48, 189
카마, 51, 178
아나, 69, 159
마다, 62, 175
타마, 55, 183
마가, 69, 179
다다, 45, 142
카차, 87, 188
다하, 62, 152
바사, 78, 152
카다, 84, 196
마파, 94, 158
라아, 60, 148
가파, 74, 187
마하, 86, 155
파바, 40, 151
가하, 54, 191
나사, 82, 173
차마, 88, 165
차마, 78, 180
사사, 75, 148
카바, 92, 174
라나, 52, 172
하가, 90, 151
자다, 47, 189
자자, 55, 189
마라, 45, 152
라라, 90, 187
바하, 80, 141
차자, 97, 193
하다, 47, 180
자자, 74, 142
바카, 99, 167
아라, 92, 163
하아, 94, 152
다자, 85, 168
카아, 61, 195
파카, 60, 170
다마, 49, 196
하라, 59, 168
마하, 51, 155
하나, 77, 190
라하, 92, 194
파하, 95, 141
가자, 89, 148
파차, 92, 190
카자, 81, 176
마바, 81, 191
다라, 53, 195
나타, 42, 153
가아, 85, 143
자바, 86, 188
파가, 50, 193
나하, 74, 159
다아, 85, 155
자사, 60, 149
하나, 99, 186
자가, 41, 164
가차, 78, 158
자타, 99, 162
바다, 62, 168
다나, 54, 160
가아, 89, 142
가라, 59, 141
자가, 77, 176
나바, 95, 195
바자, 70, 167
가나, 94, 140
하바, 95, 151
마타, 87, 161
타나, 88, 188
타마, 90, 188
나마, 75, 195
자아, 77, 145
하마, 71, 181
다가, 46, 140
바파, 73, 198
카자, 69, 173
카라, 63, 182
라차, 87, 145
파차, 93, 156
하타, 72, 149
차사, 78, 183
타카, 49, 183
아자, 56, 150
차나, 99, 140
카마, 40, 174
타하, 48, 185
차사, 47, 193
가사, 67, 140
차라, 91, 188
파가, 90, 160
마파, 54, 182
타타, 86, 141
나바, 77, 188
카타, 70, 180
자나, 53, 184
하사, 45, 151
바하, 41, 198
바차, 46, 199
파사, 88, 166
하라, 66, 172
라사, 83, 151
다차, 91, 150
타나, 80, 180
가마, 73, 141
마마, 75, 186
가차, 77, 149
가파, 76, 153
가나, 44, 170
차다, 83, 157
아하, 52, 150
아차, 41, 141
가나, 67, 164
바카, 44, 193
차사, 44, 191
하자, 41, 178
가바, 89, 148
카차, 81, 161
라바, 77, 182
사사, 69, 188
타라, 82, 165
가아, 85, 160
가파, 44, 186
파사, 98, 174
사차, 68, 199
라타, 53, 164
하가, 60, 175
타바, 65, 150
라아, 62, 172
바자, 89, 181
하타, 45, 167
카하, 66, 160
파사, 86, 163
타타, 51, 172
차바, 97, 170
차자, 42, 184
마다, 45, 194
가하, 72, 197
차하, 77, 181
마가, 64, 159
타파, 69, 172
파라, 75, 186
바차, 56, 184
타가, 96, 168
차나, 55, 145
아나, 49, 193
바라, 84, 175
아하, 49, 159
라나, 51, 150
라아, 79, 187
카차, 60, 141
다타, 92, 141
차라, 81, 196
다바, 78, 187
가자, 68, 170
다사, 52, 146
파사, 73, 196
하카, 73, 198
타나, 48, 189
차바, 89, 152
바나, 43, 158
차아, 56, 169
타아, 47, 160
차카, 73, 165
카다, 46, 156
다사, 45, 195
나카, 75, 158
사카, 89, 175
아다, 63, 173
나가, 78, 183
가하, 57, 178
차타, 51, 158
차라, 56, 149
나타, 61, 180
나하, 89, 176
파아, 62, 168
타파, 72, 186
가파, 50, 141
마라, 87, 176
타다, 70, 177
사나, 49, 184
차파, 80, 156
자카, 51, 177
타카, 84, 176
마자, 95, 184
타바, 98, 167
바차, 68, 147
파가, 93, 158
사다, 40, 181
파마, 97, 160
마다, 72, 181
하라, 51, 165
카차, 92, 181
차다, 81, 162
다타, 73, 156
자자, 77, 173
하마, 98, 187
나아, 81, 179
카자, 73, 199
자바, 66, 148
가아, 78, 171
라라, 79, 196
다나, 48, 152
아카, 55, 174
차바, 58, 162
차타, 60, 197
차아, 71, 144
라파, 88, 172
타나, 53, 165
마마, 54, 185
차바, 76, 158
파나, 99, 188
사바, 67, 193
